Close,High,Low,Open,Volume,Profit/Loss,MV_9D,MV_21D,Signal
INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
1828.389892578125,1838.5394729768454,1820.134214444306,1820.134214444306,1838368,8.255678133818947,,,
1901.5740966796875,1906.236174279187,1831.10952423594,1832.760612498252,7083645,68.81348418143557,,,
1883.0230712890625,1896.8148627360356,1866.754528958132,1896.8148627360356,6218003,-13.791791446973093,,,
1882.1490478515625,1916.288731426852,1872.5821967516326,1895.8923485784164,7164403,-13.743300726853931,,,
1875.3502197265625,1902.2540906114118,1868.357221729347,1889.0935202054077,4294832,-13.743300478845185,,,
1877.5841064453125,1882.8774057609294,1834.460303784991,1874.5246254427705,5482050,3.059481002542043,,,
1862.1898193359375,1895.74665458795,1855.6338390718154,1878.4583629543145,6833503,-16.268543618376953,,,
1910.4124755859375,1920.9507009797642,1876.709930393327,1881.3233976824297,8036913,29.089077903507814,,,
1905.799072265625,1925.8070469770787,1892.9785364775742,1899.7773306055078,5804152,6.021741660117186,1880.7190890842014,,
1884.285888671875,1915.1232771204202,1875.5930733895989,1912.2579998126723,5792162,-27.972111140797324,1886.9297553168403,,
1893.60986328125,1901.7684398888914,1881.420549328485,1891.036010381721,2985439,2.5738528995289016,1886.0448404947917,,
1873.0191650390625,1910.41253260361,1861.7526156669912,1909.4412763032324,7533579,-36.42211126416987,1884.9332953559028,,
1763.2672119140625,1804.5942151264314,1759.9164250856263,1797.7954209897873,16409953,-34.52820907572482,1871.7242024739583,,
1761.1790771484375,1775.407886940151,1741.6082392029957,1770.5516054927243,4333011,-9.37252834428682,1859.0385199652778,,
1748.941162109375,1779.0016155615642,1741.5111463055791,1766.7638099629812,7169109,-17.822647853606213,1844.7448594835068,,
1803.0887451171875,1812.1700865447272,1753.2633671133483,1755.448693830049,8373913,47.640051287138476,1838.1780734592014,,
1811.8299560546875,1825.5247642701754,1799.446438649042,1804.5941442893445,5907471,7.235811765342987,1827.2244601779514,,
1821.5426025390625,1840.4336089404926,1810.6645792715367,1811.8786496612856,4887027,9.663952877776865,1817.8626302083333,,
1769.62890625,1809.4504129219265,1759.9163436470913,1795.6100112127813,7652371,-25.981104962781274,1805.1229654947917,,
1777.15625,1809.9361507719634,1772.4456805643415,1777.3990640797924,6999495,-0.2428140797924243,1792.1836751302083,,
1827.1759033203125,1834.36322360914,1787.5972093347696,1791.9678626583263,5145155,35.20804066198616,1787.0899793836807,1841.0093587239583,Sell
1806.4881591796875,1832.9548941080284,1790.9966681783667,1819.3088138415467,7336056,-12.82065466185918,1791.892306857639,1839.9664190383185,Sell
1825.7677001953125,1842.910279604707,1817.2205970496623,1817.2205970496623,5820470,8.547103145650226,1799.068820529514,1836.3565906343006,Sell
1798.1353759765625,1836.2571867836969,1792.9391783431893,1826.2533177597818,1701402,-28.117941783219294,1804.5348442925347,1832.3143194289435,Sell
1809.741943359375,1822.6110895629577,1779.7300994439906,1783.2265984737837,4823228,26.515344885591276,1805.2740885416667,1828.8663620721727,Sell
1844.2215576171875,1856.2650411997822,1821.1056096540206,1834.703198206104,7334787,9.518359411083566,1808.8731553819443,1827.384044828869,Sell
1842.5218505859375,1864.5207114002724,1839.8508957040453,1851.2145472314708,4996744,-8.69269664553326,1811.2041829427083,1825.7144135974702,Sell
1860.587158203125,1868.6971246106148,1845.3869733680706,1861.898330498206,4765255,-1.3111722950809508,1821.3106553819443,1825.6380964006696,Sell
1848.93212890625,1868.405747107761,1835.14021793859,1864.13231412214,4126260,-15.200185215890087,1829.2857530381943,1822.710460844494,Buy
1826.2532958984375,1850.2432794461592,1824.6020890265615,1850.2432794461592,3828734,-23.98998354772175,1829.1832411024307,1818.9225667317708,Buy
1821.7369384765625,1848.3007750893653,1816.249316561804,1828.9727506286142,4411601,-7.235812152051722,1830.8775499131943,1815.9440452938989,Buy
1809.59619140625,1840.142154487476,1793.9103785152583,1830.8181177592105,5633947,-21.22192635296051,1829.0807156032986,1811.943394252232,Buy
1790.2681884765625,1819.6486917731397,1782.8866642532057,1814.7924102365155,5237744,-24.52422175995298,1828.2065836588542,1808.0028715587798,Buy
1803.0401611328125,1805.8568280246752,1775.796375368045,1800.709122375355,5292961,2.3310387574574634,1827.461941189236,1809.8968215215773,Buy
1789.3455810546875,1799.495162260814,1769.7747423270973,1785.7033698235564,4428956,3.642211231131114,1821.3646104600693,1811.2380836123511,Buy
1798.7181396484375,1808.1393973263787,1784.780634818134,1789.3456107739096,4365260,9.372528874527916,1816.497531467014,1813.6084158761162,Buy
1758.7509765625,1796.0471240806544,1753.9917969230971,1794.2989338566194,4611411,-35.54795729411944,1805.182400173611,1811.497093563988,Sell
1772.6884765625,1778.3703022593725,1753.6518766132701,1753.6518766132701,2218020,19.036599949229867,1796.7108832465278,1809.6332135881696,Sell
1762.8302001953125,1777.2533326664163,1754.2830972545896,1769.4347905187403,3379879,-6.6045903234278285,1789.6638726128472,1806.8373849051338,Sell
1713.3931884765625,1756.0313630959042,1699.9413126430345,1748.309923055587,7594720,-34.91673457902448,1777.6256781684028,1804.1594935825892,Sell
1716.8896484375,1727.3306532632726,1694.987890846883,1694.987890846883,5092963,21.90175759061708,1767.324951171875,1801.2896554129463,Sell
1713.5875244140625,1724.8054634563641,1700.7668702151418,1704.748997302386,5757079,8.838527111676513,1758.8048773871528,1795.8806849888392,Sell
1639.189208984375,1704.6519072727174,1634.0901134127998,1704.6034155946859,12182167,-65.41420661031088,1740.5992160373264,1787.9140683128721,Sell
1659.4884033203125,1678.9135283002097,1643.6569975986285,1643.6569975986285,7504969,15.83140572168395,1726.1706407335068,1779.9960065569196,Sell
1639.7720947265625,1650.1644899401717,1621.9980566215932,1646.2794646548505,6759673,-6.507369928287972,1708.5099690755208,1772.4548979259673,Sell
1662.30517578125,1683.1385762213686,1643.8026956375877,1643.8026956375877,8180782,18.502480143662297,1697.7937689887153,1765.4340994698662,Sell
1666.5301513671875,1672.794825837321,1642.4915571816716,1665.7046071983816,10610547,0.8255441688058909,1685.9983995225693,1756.9726039341517,Sell
1637.5382080078125,1655.9920786793123,1627.340016320931,1654.146667899849,8019331,-16.608459892036535,1672.0770670572917,1747.2114780970983,Sell
1652.5440673828125,1669.5896637303404,1628.01984457351,1637.5382042171923,7558981,15.005863165620212,1665.3160536024307,1737.304664248512,Sell
1613.8394775390625,1631.7106175387037,1589.995206020896,1631.7106175387037,12671234,-17.871139999641173,1653.8660346137153,1726.1097760881696,Sell
1545.123046875,1589.84944650162,1518.850635339536,1589.84944650162,14870008,-44.72639962661992,1635.1477593315972,1712.722621372768,Sell
1534.439208984375,1559.886194636392,1525.163782654934,1553.2816045131979,7822888,-18.842395528822863,1623.5088704427083,1699.0417771112352,Sell
1544.34619140625,1548.1826065260266,1500.736758011993,1500.736758011993,7526032,43.60943339425694,1610.7152913411458,1686.4108247302827,Sell
1544.34619140625,1544.34619140625,1544.34619140625,1544.34619140625,0,0.0,1600.1124131944443,1674.7002534412202,Sell
1540.94677734375,1556.9238965430377,1527.5920028100838,1556.9238965430377,7387068,-15.9771191992877,1586.628146701389,1662.2196161179315,Sell
1569.1131591796875,1584.9931759348294,1546.2400259441436,1546.2400259441436,7186750,22.873133235543946,1575.8040364583333,1651.7323579334077,Sell
1546.7742919921875,1557.7980274559397,1518.7049607743006,1532.59385494289,10074677,14.180437049297552,1565.7191569010417,1639.7350318545386,Sell
1546.968505859375,1560.9060103586978,1527.4947691913153,1552.0189913058653,8857726,-5.050485446490256,1553.9885389539932,1629.6501522972471,Sell
1581.6422119140625,1589.1209562659596,1558.8663000022038,1558.8663000022038,9890140,22.775911911858657,1550.4110649956597,1620.552711123512,Sell
1553.475830078125,1590.6749935166006,1549.1537869998338,1579.2627320763197,6651302,-25.786901998194708,1551.3391520182292,1610.5834554036458,Sell
1557.4581298828125,1573.3866387891755,1540.4125339270274,1549.688079270318,9426573,7.770050612494515,1553.8968098958333,1603.1579764229912,Sell
1525.5037841796875,1552.504639118573,1515.1598805138667,1544.2975705237486,6799047,-18.793786344061118,1551.8032090928818,1594.0443638392858,Sell
1482.6226806640625,1502.92196020728,1474.2212903040318,1495.0061979771754,12680733,-12.383517313112861,1544.945041232639,1583.0460379464287,Sell
1505.593017578125,1510.9349273715397,1491.0726643663595,1491.0726643663595,6193478,14.520353211765496,1541.016845703125,1576.684314546131,Sell
1453.485107421875,1490.5385603678294,1442.3642697947264,1490.5385603678294,10459504,-37.053452945954405,1528.1692843967014,1566.8746337890625,Sell
1409.92431640625,1429.6893595876932,1406.3792069857197,1418.5199114659142,9590254,-8.59559505966422,1512.9637315538193,1555.9295014880952,Sell
1356.602294921875,1365.489314158466,1269.4320382766355,1313.1385736419368,21715252,43.46372127993823,1491.8119303385417,1541.3722214471727,Sell
1387.7310791015625,1414.6348317731379,1374.3276944448953,1389.8677955834949,12805001,-2.1367164819323534,1470.2662489149307,1528.0960751488096,Sell
1363.3524169921875,1368.9371407012397,1342.1791008495861,1364.663707842691,8546854,-1.3112908505036103,1449.1414252387153,1515.0396089099702,Sell
1368.9371337890625,1397.4436008179698,1356.893650613513,1370.6854425398662,12567440,-1.7483087508037443,1428.1946478949653,1501.5345168340773,Sell
1385.011474609375,1406.087688754894,1368.5001176189407,1404.0480742507405,10178530,-19.036599641365456,1412.5843912760417,1490.6379452659971,Sell
1372.482177734375,1386.4682913913693,1356.6507720589223,1384.0401507759727,12022740,-11.557973041597734,1400.3465576171875,1482.4169514973958,Sell
1378.6983642578125,1388.7023519091767,1338.6826507754836,1357.8163531049115,14264227,20.882011152900986,1386.2471516927083,1475.000720796131,Sell
